lon,lat,accum,n_obs
-71.61220239781359,-30.64991424911728,-150.75670236411844,34.0
-71.61220967271672,-30.6501846781756,-157.10297186422503,34.0
-71.6122169477183,-30.65045510722111,-115.51373077101145,34.0
-71.61222422281831,-30.65072553625381,-194.8492721565847,34.0
-71.61223149801677,-30.650995965273665,-113.01081512905566,34.0
-71.61223877331366,-30.651266394280707,-206.2820293310704,34.0
-71.612246048709,-30.65153682327492,-134.11369339846243,34.0
-71.61225332420278,-30.651807252256308,-103.39699138715096,34.0
-71.612260599795,-30.65207768122488,-177.7781263926334,34.0
-71.61226787548567,-30.65234811018063,-152.55967611234283,34.0
-71.61227515127479,-30.65261853912355,-107.34295245361986,34.0
-71.61228242716236,-30.65288896805365,-83.11773079015158,34.0
-71.61228970314836,-30.653159396970924,-167.13137930298294,34.0
-71.61229697923284,-30.653429825875385,-183.60946619440813,34.0
-71.61230425541574,-30.65370025476701,-130.94688054784646,34.0
-71.6123115316971,-30.653970683645813,-162.61035096438147,34.0
-71.61253697918212,-30.6390845006316,-177.9197264675263,34.0
-71.61254425188511,-30.639354930068105,-143.73272978708385,34.0
-71.61255152468652,-30.639625359491795,-143.7303506183524,34.0
-71.61255879758635,-30.639895788902653,-158.76139437563296,34.0
-71.61256607058458,-30.64016621830069,-90.63202537504121,34.0
-71.61257334368125,-30.64043664768592,-203.38978987539454,34.0
-71.61258061687631,-30.640707077058316,-161.1696222546685,34.0
-71.61258789016982,-30.6409775064179,-143.69207498819523,34.0
-71.61259516356174,-30.64124793576466,-174.9801147469992,34.0
-71.61260243705208,-30.6415183650986,-101.437078526343,34.0
-71.61260971064084,-30.64178879441972,-108.9876745404562,34.0
-71.61261698432804,-30.642059223728012,-160.74535125581914,34.0
-71.61262425811364,-30.64232965302349,-109.84454781096234,34.0
-71.6126315319977,-30.64260008230616,-195.07579309081024,34.0
-71.61263880598017,-30.642870511575985,-166.08252960218223,34.0
-71.61264608006108,-30.643140940832996,-144.8494225333401,34.0
-71.61265335424042,-30.643411370077192,-121.19117026559411,34.0
-71.61266062851819,-30.643681799308563,-198.89697739054154,34.0
-71.61250062974615,-30.64936710095953,-104.09768928064175,34.0
-71.61250790532108,-30.64963752997616,-148.04109626929025,34.0
-71.61251518099444,-30.649907958979966,-147.7659982264344,34.0
-71.61252245676624,-30.65017838797095,-141.55554850905892,34.0
-71.6125297326365,-30.650448816949112,-104.05157179173263,34.0
-71.61253700860523,-30.65071924591446,-195.21035429409903,34.0
-71.61254428467238,-30.65098967486697,-188.72486531629195,34.0
-71.612551560838,-30.651260103806678,-154.8824157983665,34.0
-71.61255883710209,-30.65153053273353,-98.56951987146789,34.0
-71.6125661134646,-30.651800961647577,-157.5285402493284,34.0
-71.61257338992559,-30.6520713905488,-181.0312154691841,34.0
-71.61258066648503,-30.6523418194372,-171.95300114912922,34.0
-71.61258794314291,-30.652612248312774,-155.44131753955304,34.0
-71.61259521989928,-30.652882677175526,-111.42637145217675,34.0
-71.6126024967541,-30.653153106025457,-156.88049813082316,34.0
-71.61260977370738,-30.653423534862565,-180.76672709073543,34.0
-71.61261705075911,-30.65369396368684,-166.55540885114485,34.0
-71.61262432790932,-30.65396439249829,-154.97818639750537,34.0
-71.61263160515799,-30.654234821296928,-160.6778847643654,34.0
-71.61264615995073,-30.65477567885572,-108.53760914113063,34.0
-71.6126534374948,-30.655046107615867,-144.8259094871231,34.0
-71.61266071513735,-30.655316536363213,-119.4732407692618,34.0
-71.61284972742877,-30.639078211685515,-69.31059531291665,34.0
-71.61285700099995,-30.63934864105467,-141.24157835991392,34.0
-71.61286427466958,-30.639619070411012,-118.45200854027144,34.0
-71.61287154843762,-30.639889499754524,-113.77694195079181,34.0
-71.6128788223041,-30.64015992908522,-156.01632724173095,34.0
-71.61288609626901,-30.640430358403098,-145.31342902774313,34.0
-71.61289337033234,-30.64070078770815,-181.54865441794232,34.0
-71.61290064449412,-30.640971217000384,-184.50215911495266,34.0
-71.61290791875432,-30.64124164627979,-175.93229918140787,34.0
-71.61291519311295,-30.641512075546387,-129.57112642239383,34.0
-71.61292246757003,-30.64178250480015,-147.13948586624429,34.0
-71.61292974212556,-30.6420529340411,-119.81530687329293,34.0
-71.61266790289439,-30.6439522285271,-161.19184354677378,34.0
-71.61269700138355,-30.64503394527309,-194.77094565399577,34.0
-71.61270427625195,-30.64530437442754,-209.4556805783974,34.0
-71.61271155121877,-30.64557480356915,-211.99300776854153,34.0
-71.61279885849947,-30.64881995226844,-181.81814665020948,34.0
-71.61280613474614,-30.64909038124336,-134.89908355855022,34.0
-71.61281341109124,-30.64936081020547,-158.0224344274067,34.0
-71.6128206875348,-30.649631239154747,-202.46668035903912,34.0
-71.61282796407684,-30.649901668091204,-112.82088618067169,34.0
-71.61283524071733,-30.65017209701483,-210.85172119514021,34.0
-71.61284251745627,-30.650442525925644,-141.0828753100623,34.0
-71.6128497942937,-30.65071295482364,-173.5877091415515,34.0
-71.61285707122957,-30.6509833837088,-191.7213270420277,34.0
-71.6128643482639,-30.65125381258114,-179.9102977195369,34.0
-71.6128716253967,-30.651524241440647,-140.8179408029419,34.0
-71.61287890262797,-30.65179467028733,-88.18347231357049,34.0
-71.61288617995771,-30.6520650991212,-180.40459980003993,34.0
-71.61289345738591,-30.65233552794225,-207.442328447959,34.0
-71.61290073491259,-30.65260595675047,-152.54890419656667,34.0
-71.61290801253774,-30.652876385545863,-161.5011530402422,34.0
-71.61291529026136,-30.65314681432843,-189.189657531712,34.0
-71.61292256808346,-30.65341724309818,-117.99384323977684,34.0
-71.61292984600402,-30.653687671855103,-142.14150200487944,34.0
-71.61316247557696,-30.6390719219883,-71.32488378091102,34.0
-71.61316975001635,-30.639342351290097,-203.65285441822812,34.0
